Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
58050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.36,,97.48,10.55,-8.35,50.75,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,21.00,-1,34.00,1.10,1,0,0,0,0,86.32,1,0,1,,
59051,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.64,,100.17,10.95,-7.67,48.98,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.00,1,0,0,0,0,86.32,1,0,1,,
60050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.54,,97.29,10.65,-8.63,51.40,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,35.00,1.00,1,0,0,0,0,10.67,1,0,1,,
61050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.50,,96.67,10.75,-8.44,48.85,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.10,1,0,0,0,0,10.67,1,0,1,,
62050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.17,,96.89,11.39,-8.75,51.27,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,31.00,1.10,1,0,0,0,0,85.89,1,0,1,,
63050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.30,,97.64,11.55,-8.65,49.47,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,30.00,1.10,1,0,0,0,0,37.70,1,0,1,,
64070,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.50,,97.40,11.08,-7.74,23.21,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,31.00,1.10,1,0,0,0,0,37.70,1,0,1,,
65050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.25,,95.02,10.40,-8.23,50.68,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,32.00,1.10,1,0,0,0,0,37.70,1,0,1,,
66050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.26,,97.37,10.57,-8.61,23.81,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,33.00,1.10,1,0,0,0,0,19.69,1,0,1,,
67050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.33,,99.75,10.51,-8.08,52.05,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,32.00,1.20,1,0,0,0,0,85.16,1,0,1,,
