Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	filteredYaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
25850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		181.75	-7.42	5.91	65.17	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
25909	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		181.79	-7.41	5.61	29.50	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
25950	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		182.13	-7.45	5.28	146.37	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
26000	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		182.46	-7.51	4.99	77.52	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
26050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		182.91	-7.54	4.64	67.57	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
26100	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		183.18	-7.60	4.53	85.91	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26153	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		183.42	-7.76	4.37	146.11	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26200	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		183.53	-7.85	4.39	147.06	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26250	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		183.68	-7.92	4.49	57.52	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26300	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		183.78	-7.97	4.56	77.11	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26369	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		183.99	-7.98	4.58	26.79	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26400	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		184.06	-8.04	4.58	141.08	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26450	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.83		184.17	-8.11	4.62	67.60	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26500	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.25	-8.18	4.68	84.26	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26550	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.38	-8.14	4.64	66.23	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26603	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.42	-8.13	4.64	144.93	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26650	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.45	-8.09	4.64	84.12	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	12.22	1	0	1		
26706	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.47	-8.01	4.59	49.31	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	13.75	1	0	1		
26750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.48	-7.98	4.63	64.73	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	13.75	1	0	1		
26809	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.38	-7.92	4.68	29.40	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	13.75	1	0	1		
26850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.27	-7.91	4.75	146.89	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	13.75	1	0	1		
26900	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.16	-7.91	4.84	84.20	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	13.75	1	0	1		
26950	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	183.06		184.01	-7.88	4.89	66.17	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	0.90	1	0	0	0	0	13.75	1	0	1		
